===== JOB INFO =====
Wed May 20 10:25:03 AM HKT 2026
dgx-21
Wed May 20 10:25:03 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.158.01             Driver Version: 570.158.01     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H800                    On  |   00000000:52:00.0 Off |                    0 |
| N/A   31C    P0             71W /  700W |       0MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Python 3.10.20
torch 2.7.1+cu126
cuda True
gpu NVIDIA H800
===== DPO START =====
Model Params: 63.91M
Trainable Params: 63.912M
策略模型总参数量：63.912 M
Model Params: 63.91M
Trainable Params: 63.912M
参考模型总参数量：63.912 M
Epoch:[1/1](10/2146), loss: 0.6866, dpo_loss: 0.6866, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 4.000min
Epoch:[1/1](20/2146), loss: 0.6914, dpo_loss: 0.6914, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 3.000min
Epoch:[1/1](30/2146), loss: 0.6482, dpo_loss: 0.6482, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](40/2146), loss: 0.6938, dpo_loss: 0.6938, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](50/2146), loss: 0.7053, dpo_loss: 0.7053, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](60/2146), loss: 0.6289, dpo_loss: 0.6289, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](70/2146), loss: 0.6944, dpo_loss: 0.6944, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](80/2146), loss: 0.6457, dpo_loss: 0.6457, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](90/2146), loss: 0.6366, dpo_loss: 0.6366, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](100/2146), loss: 0.6220, dpo_loss: 0.6220, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](110/2146), loss: 0.6700, dpo_loss: 0.6700, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](120/2146), loss: 0.6747, dpo_loss: 0.6747, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](130/2146), loss: 0.6568, dpo_loss: 0.6568, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](140/2146), loss: 0.6109, dpo_loss: 0.6109, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](150/2146), loss: 0.6162, dpo_loss: 0.6162, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](160/2146), loss: 0.6580, dpo_loss: 0.6580, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 2.000min
Epoch:[1/1](170/2146), loss: 0.7211, dpo_loss: 0.7211, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](180/2146), loss: 0.6370, dpo_loss: 0.6370, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](190/2146), loss: 0.6706, dpo_loss: 0.6706, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](200/2146), loss: 0.6404, dpo_loss: 0.6404, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](210/2146), loss: 0.6222, dpo_loss: 0.6222, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](220/2146), loss: 0.6549, dpo_loss: 0.6549, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](230/2146), loss: 0.6763, dpo_loss: 0.6763, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](240/2146), loss: 0.6924, dpo_loss: 0.6924, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](250/2146), loss: 0.6207, dpo_loss: 0.6207, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](260/2146), loss: 0.6103, dpo_loss: 0.6103, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](270/2146), loss: 0.5686, dpo_loss: 0.5686, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](280/2146), loss: 0.6953, dpo_loss: 0.6953, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](290/2146), loss: 0.5842, dpo_loss: 0.5842, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](300/2146), loss: 0.6149, dpo_loss: 0.6149, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](310/2146), loss: 0.6638, dpo_loss: 0.6638, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](320/2146), loss: 0.7243, dpo_loss: 0.7243, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](330/2146), loss: 0.6275, dpo_loss: 0.6275, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](340/2146), loss: 0.6594, dpo_loss: 0.6594, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](350/2146), loss: 0.6194, dpo_loss: 0.6194, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](360/2146), loss: 0.6559, dpo_loss: 0.6559, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](370/2146), loss: 0.7202, dpo_loss: 0.7202, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](380/2146), loss: 0.6159, dpo_loss: 0.6159, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](390/2146), loss: 0.6257, dpo_loss: 0.6257, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](400/2146), loss: 0.7005, dpo_loss: 0.7005, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](410/2146), loss: 0.6277, dpo_loss: 0.6277, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](420/2146), loss: 0.6554, dpo_loss: 0.6554, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](430/2146), loss: 0.7524, dpo_loss: 0.7524, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](440/2146), loss: 0.6092, dpo_loss: 0.6092, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](450/2146), loss: 0.6016, dpo_loss: 0.6016, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](460/2146), loss: 0.6394, dpo_loss: 0.6394, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](470/2146), loss: 0.6521, dpo_loss: 0.6521, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](480/2146), loss: 0.6213, dpo_loss: 0.6213, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](490/2146), loss: 0.6993, dpo_loss: 0.6993, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
Epoch:[1/1](500/2146), loss: 0.5314, dpo_loss: 0.5314, aux_loss: 0.0000, learning_rate: 0.00000004, epoch_time: 1.000min
