step,loss
20,7.4104
40,7.1877
60,7.2486
80,6.9795
100,7.0406
120,6.82
140,6.7725
160,6.472
180,6.5141
200,6.6609
220,6.4453
240,6.3408
260,6.145
280,6.0131
300,5.9716
320,6.0312
340,5.8683
360,5.9101
380,5.7674
400,5.9286
420,5.8536
440,5.5853
460,5.7553
480,5.5309
500,5.5033
520,5.5154
540,5.2104
560,5.1958
580,5.6532
600,5.4
620,5.3425
640,5.5034
660,5.2427
680,5.2097
700,4.9945
720,4.956
740,4.9544
760,4.8238
780,4.9208
800,4.5904
820,4.9216
840,4.7256
860,4.6715
880,4.9973
900,4.6359
920,4.5392
940,4.5551
960,4.7413
980,4.9301
1000,4.2256
1020,4.6364
1040,4.6008
1060,4.3809
1080,4.468
1100,4.1787
1120,4.7241
1140,4.4683
1160,4.0642
1180,4.5539
1200,4.3176
1220,4.243
1240,4.5085
1260,4.1787
1280,4.2076
1300,4.6114
1320,4.3615
1340,4.3061
1360,4.158
1380,4.0041
1400,4.0251
1420,4.1713
1440,4.2293
1460,4.0241
1480,4.3723
1500,3.9092
1520,4.3801
1540,4.3272
1560,4.3189
1580,4.0728
1600,4.0559
1620,4.0451
1640,4.0009
1660,3.9094
1680,3.8426
1700,3.9831
1720,4.2221
1740,3.8534
1760,3.7036
1780,4.115
1800,3.7136
1820,3.77
1840,4.0276
1860,3.7527
1880,4.1984
1900,4.0278
1920,3.8676
1940,3.9268
1960,3.7083
1980,3.8324
2000,3.7282
2020,3.8883
2040,3.4986
2060,4.0019
2080,3.7289
2100,3.8568
2120,3.7924
2140,3.7666
2160,4.0297
2180,3.9004
2200,3.7814
2220,3.5957
2240,3.6527
2260,3.5852
2280,3.6518
2300,3.6881
2320,3.7761
2340,3.5256
2360,3.6091
2380,3.5543
2400,3.3639
2420,3.8805
2440,3.6054
2460,3.7679
2480,3.8172
2500,3.2223
2520,3.6282
2540,3.1927
2560,3.3438
2580,3.2026
2600,3.5592
2620,3.5436
2640,3.2057
2660,3.4488
2680,3.4666
2700,3.2402
2720,3.4743
2740,3.2183
2760,3.2128
2780,3.3832
2800,3.6074
2820,3.6252
2840,3.4369
2860,3.1856
2880,3.1852
2900,3.3335
2920,3.425
2940,3.4711
2960,3.4653
2980,3.2782
3000,3.0147
3020,3.2527
3040,3.7819
3060,3.5317
3080,3.2991
3100,3.0688
3120,3.1892
3140,3.3066
3160,3.107
3180,3.3842
3200,3.2758
3220,3.3609
3240,3.0999
3260,2.8141
3280,3.3764
3300,3.4538
3320,3.2441
3340,3.1963
3360,3.0475
3380,3.0759
3400,3.0988
3420,2.8206
3440,3.1262
3460,3.2742
3480,3.5437
3500,3.0058
3520,3.2762
3540,3.4119
3560,2.8797
3580,3.307
3600,3.2096
3620,3.1722
3640,3.2003
3660,3.3029
3680,3.2381
3700,3.3865
3720,2.9009
3740,3.5122
3760,3.1213
3780,3.1851
3800,3.0542
3820,2.9934
3840,3.0452
3860,3.2705
3880,3.0849
3900,3.2519
3920,3.0346
3940,2.8855
3960,3.0194
3980,3.1201
4000,2.9508
4020,2.8454
4040,3.0922
4060,3.1234
4080,2.9531
4100,2.8338
4120,3.2348
4140,3.0956
4160,3.1643
4180,2.9643
4200,3.076
4220,3.1355
4240,2.8474
4260,3.2718
4280,2.7568
4300,2.884
4320,3.3952
4340,2.8801
4360,3.0997
4380,2.847
4400,3.2335
4420,3.1331
4440,3.0553
4460,3.0377
4480,3.2453
4500,3.031
4520,2.9222
4540,2.9133
4560,2.8125
4580,2.9064
4600,3.0635
4620,3.0659
